,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC,AAA,BAA,CIVPART,GS20,GS3,IRLTLT01USM156N,M1SL,MCOILWTICO,PPIACO,TCU,TOTALSA,PMI
1913-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9384241852182245,,,
1913-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1913-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1913-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1913-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9416697064696338,,,
1913-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9416697064696338,,,
1913-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1913-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1913-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9368014245925198,,,
1913-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9368014245925198,,,
1913-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9384241852182245,,,
1913-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9416697064696338,,,
1914-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1914-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1914-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.944915227721043,,,
1914-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.944915227721043,,,
1914-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9465379883467476,,,
1914-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9465379883467476,,,
1914-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9465379883467476,,,
1914-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9400469458439291,,,
1914-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9384241852182245,,,
1914-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.944915227721043,,,
1914-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.944915227721043,,,
1914-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9465379883467476,,,
1915-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9416697064696338,,,
1915-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9416697064696338,,,
1915-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9432924670953384,,,
1915-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9384241852182245,,,
1915-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9351786639668153,,,
1915-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.927064860838292,,,
1916-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9189510577097688,,,
1916-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9157055364583595,,,
1916-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.909214493955541,,,
1916-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9059689727041317,,,
1916-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.904346212078427,,,
1916-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9027234514527225,,,
1916-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9011006908270178,,,
1916-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8962324089499039,,,
1916-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89136412707279,,,
1916-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8800048026928574,,,
1916-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8621544358101065,,,
1916-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8572861539329926,,,
1917-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8491723508044693,,,
1917-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8426813083016508,,,
1917-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8345675051731276,,,
1917-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.815094377664672,,,
1917-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.797244010781921,,,
1917-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7939984895305117,,,
1917-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7907529682791024,,,
1917-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7858846864019885,,,
1917-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7891302076533978,,,
1917-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.792375728904807,,,
1917-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7907529682791024,,,
1917-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7907529682791024,,,
1918-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7842619257762838,,,
1918-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.792375728904807,,,
1918-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7810164045248746,,,
1918-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7761481226477607,,,
