,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GFDEGDQ188S,GPDI,PCEC,AAA,BAA,CIVPART,GS20,GS3,IRLTLT01USM156N,M1SL,MCOILWTICO,PPIACO,TCU,TOTALSA,PMI
1914-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.635906119162812,,,
1914-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5433956528691279,,,
1914-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6382580801702797,,,
1914-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6382580801702797,,,
1914-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6406495699341742,,,
1914-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6406495699341742,,,
1914-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7331205074714303,,,
1914-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3536707982668268,,,
1914-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44697810380894254,,,
1914-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8202073259774054,,,
1914-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.729984559461475,,,
1914-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6406495699341742,,,
1915-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3536707982668268,,,
1915-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3536707982668268,,,
1915-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25637600103487496,,,
1915-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25637600103487496,,,
1915-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05927016181497793,,,
1915-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1574037072989267,,,
1915-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05927016181497793,,,
1915-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5433956528691279,,,
1915-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.635906119162812,,,
1915-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035508390660972944,,,
1915-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23009798512487153,,,
1915-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8239317475405638,,,
1916-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09338317751344,,,
1916-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2863237076174754,,,
1916-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.672204767825548,,,
1916-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8651452979295835,,,
1916-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8464997845161684,,,
1916-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0580858280336183,,,
1916-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0378189656277335,,,
1916-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4439668882416887,,,
1916-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7333776833977446,,,
1916-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0331530524850057,,,
1916-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8110211320276015,,,
1916-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.470470802310819,,,
1917-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3267060804845894,,,
1917-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.440826293779209,,,
1917-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4135277535486614,,,
1917-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.167432119915683,,,
1917-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93724768219173,,,
1917-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.979853086357321,,,
1917-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02186674879839,,,
1917-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.912161900899101,,,
1917-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42739553771118,,,
1917-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5616701502137977,,,
1917-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6277197740550577,,,
1917-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3757043030294436,,,
1918-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23348630994638,,,
1918-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6068193659569596,,,
1918-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.676897915855105,,,
1918-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0331504739530462,,,
1918-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357797406491805,,,
1918-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29681441751249393,,,
1918-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45176490523351026,,,
1918-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5464192096138595,,,
1918-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9289761060867612,,,
1918-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9411338966493544,,,
1918-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8813306137670263,,,
1918-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8813306137670263,,,
1919-01-01,,,,,,,,,,,,,,,,,,,,,-0.14900808392506676,0.06761859745012148,,,,,,,0.4895507777434023,,,
1919-02-01,,,,,,,,,,,,,,,,,,,,,-0.14900808392506676,0.0958692164134963,,,,,,,0.3476817448127708,,,
1919-03-01,,,,,,,,,,,,,,,,,,,,,-0.13403778392347682,0.07821257956138712,,,,,,,0.0640720008575075,,,
1919-04-01,,,,,,,,,,,,,,,,,,,,,-0.11532490892148912,0.10646319852476194,,,,,,,0.05840128412731148,,,
1919-05-01,,,,,,,,,,,,,,,,,,,,,-0.13403778392347682,0.05702461533885584,,,,,,,0.2644373253243831,,,
