DATE,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1947-01-01,,,2033.061,,35.854,156.161
1947-04-01,-1.0,,2027.639,,34.505,160.031
1947-07-01,-0.8,,2023.452,,34.911,163.543
1947-10-01,6.4,,2055.103,,43.250,167.672
1948-01-01,6.2,2.6,2086.017,,47.202,170.372
1948-04-01,6.8,4.6,2120.450,,50.336,174.142
1948-07-01,2.3,5.4,2132.598,,52.516,177.072
1948-10-01,0.4,3.9,2134.981,,51.334,177.928
1949-01-01,-5.4,0.9,2105.562,,43.140,176.831
1949-04-01,-1.4,-1.0,2098.380,,36.241,178.446
1949-07-01,4.2,-0.6,2120.044,,39.549,177.806
1949-10-01,-3.3,-1.5,2102.251,,37.468,180.249
1950-01-01,16.7,3.8,2184.872,,46.749,182.920
1950-04-01,12.8,7.3,2251.507,,52.291,186.806
1950-07-01,16.4,10.3,2338.514,,58.641,200.505
1950-10-01,7.9,13.4,2383.291,,68.441,197.946
1951-01-01,5.5,10.6,2415.660,,64.582,209.207
1951-04-01,7.1,9.2,2457.517,,67.383,204.942
1951-07-01,8.5,7.3,2508.166,,61.981,207.616
1951-10-01,0.9,5.5,2513.690,,57.084,211.590
1952-01-01,4.3,5.2,2540.550,,58.132,212.969
1952-04-01,0.9,3.6,2546.022,,53.004,217.088
1952-07-01,2.9,2.2,2564.401,,57.220,219.553
1952-10-01,13.8,5.4,2648.621,,60.737,227.670
1953-01-01,7.6,6.2,2697.855,,61.663,231.220
1953-04-01,3.1,6.8,2718.709,,62.115,232.960
1953-07-01,-2.2,5.4,2703.411,,61.435,233.666
1953-10-01,-5.9,0.5,2662.482,,56.446,233.112
1954-01-01,-1.9,-1.8,2649.755,,55.717,235.154
1954-04-01,0.4,-2.4,2652.643,,55.449,237.885
1954-07-01,4.6,-0.8,2682.601,,58.971,240.303
1954-10-01,8.1,2.7,2735.091,,62.139,245.093
1955-01-01,11.9,6.2,2813.212,,68.702,251.398
1955-04-01,6.7,7.8,2858.988,,72.688,256.466
1955-07-01,5.5,8.0,2897.598,,74.747,260.651
1955-10-01,2.4,6.6,2914.993,,78.882,264.639
1956-01-01,-1.5,3.2,2903.671,,78.303,266.156
1956-04-01,3.3,2.4,2927.665,,77.020,268.834
1956-07-01,-0.4,0.9,2925.035,,78.267,272.075
1956-10-01,6.7,2.0,2973.179,,77.145,277.445
1957-01-01,2.6,3.1,2992.219,,77.728,281.889
1957-04-01,-0.9,2.0,2985.663,,77.907,284.176
1957-07-01,4.0,3.1,3014.919,,79.339,288.750
1957-10-01,-4.1,0.4,2983.727,,71.045,290.368
1958-01-01,-10.0,-2.9,2906.274,,66.730,289.888
1958-04-01,2.7,-2.0,2925.379,,65.065,292.819
1958-07-01,9.6,-0.7,2993.068,,71.999,297.893
1958-10-01,9.7,2.7,3063.085,,80.001,301.823
1959-01-01,7.9,7.4,3121.936,,83.166,309.449
1959-04-01,9.3,9.1,3192.380,,89.381,315.505
1959-07-01,0.3,6.7,3194.653,,83.606,320.725
1959-10-01,1.1,4.6,3203.759,,86.524,322.842
1960-01-01,9.3,4.9,3275.757,,96.476,326.364
1960-04-01,-2.1,2.1,3258.088,,87.096,332.208
1960-07-01,2.0,2.5,3274.029,,86.377,332.126
1960-10-01,-5.0,0.9,3232.009,,75.963,334.024
1961-01-01,2.7,-0.7,3253.826,,78.378,334.520
1961-04-01,7.0,1.6,3309.059,,84.108,339.455
1961-07-01,7.9,3.0,3372.581,,90.917,342.332
1961-10-01,8.1,6.4,3438.721,,92.931,349.593
1962-01-01,7.3,7.6,3500.054,,98.074,354.822
1962-04-01,3.7,6.7,3531.683,,96.706,360.458
1962-07-01,5.0,6.0,3575.070,,98.160,364.333
1962-10-01,1.3,4.3,3586.827,,94.968,370.618
1963-01-01,4.4,3.6,3625.981,,99.689,374.283
1963-04-01,4.6,3.8,3666.669,,101.650,378.413
1963-07-01,9.1,4.8,3747.278,,104.612,385.394
1963-10-01,2.6,5.2,3771.845,,107.189,390.049
1964-01-01,8.7,6.2,3851.366,,110.474,399.581
1964-04-01,4.4,6.2,3893.296,,110.518,407.536
1964-07-01,6.4,5.5,3954.121,,112.631,416.422
1964-10-01,1.2,5.2,3966.335,,114.984,418.987
1965-01-01,10.0,5.5,4062.311,,126.542,429.711
1965-04-01,5.1,5.7,4113.629,,127.052,436.642
1965-07-01,9.2,6.3,4205.086,,131.237,445.804
1965-10-01,9.5,8.5,4301.973,,133.752,459.736
1966-01-01,10.1,8.5,4406.693,40.33999,144.200,470.136
1966-04-01,1.4,7.5,4421.747,39.26763,143.501,475.189
1966-07-01,3.4,6.0,4459.195,39.62091,143.194,484.291
1966-10-01,3.3,4.5,4495.777,39.51977,145.855,490.060
1967-01-01,3.6,2.9,4535.591,39.20383,142.811,494.317
1967-04-01,0.2,2.6,4538.370,38.03292,137.495,503.458
1967-07-01,3.8,2.7,4581.309,38.82145,142.835,510.717
1967-10-01,3.0,2.7,4615.853,39.10231,147.653,518.249
1968-01-01,8.4,3.8,4709.993,38.42951,152.288,536.297
1968-04-01,6.9,5.5,4788.688,36.96379,158.943,550.014
1968-07-01,3.1,5.3,4825.799,37.30897,155.683,566.122
1968-10-01,1.6,5.0,4844.779,36.98532,160.760,574.977
1969-01-01,6.4,4.5,4920.605,36.19577,172.388,587.005
1969-04-01,1.2,3.1,4935.564,34.97403,172.721,598.337
1969-07-01,2.7,3.0,4968.164,35.01946,177.564,608.626
1969-10-01,-1.9,2.0,4943.935,35.46954,171.573,620.586
1970-01-01,-0.6,0.3,4936.594,35.38879,168.113,631.685
1970-04-01,0.6,0.2,4943.600,34.67329,171.455,641.570
1970-07-01,3.7,0.4,4989.159,34.86717,173.904,653.482
1970-10-01,-4.2,-0.2,4935.693,35.74822,166.754,660.161
1971-01-01,11.3,2.7,5069.746,34.50345,189.495,679.186
1971-04-01,2.2,3.1,5097.179,34.36089,197.329,693.225
1971-07-01,3.3,3.0,5139.128,35.00694,202.058,705.599
1971-10-01,0.9,4.4,5151.245,35.63237,198.411,721.739
1972-01-01,7.6,3.5,5245.974,34.72622,212.968,738.948
1972-04-01,9.4,5.3,5365.045,33.67383,226.798,757.364
1972-07-01,3.8,5.4,5415.712,33.62447,233.090,775.799
1972-10-01,6.9,6.9,5506.396,33.74758,239.715,800.502
1973-01-01,10.3,7.6,5642.669,33.29287,254.313,825.007
1973-04-01,4.4,6.3,5704.098,32.34466,268.196,840.527
1973-07-01,-2.1,4.8,5674.100,32.12455,264.335,858.877
1973-10-01,3.8,4.0,5727.960,31.77379,280.858,873.887
1974-01-01,-3.4,0.6,5678.713,31.76449,268.361,891.868
1974-04-01,1.0,-0.2,5692.210,30.99462,277.391,920.422
1974-07-01,-3.7,-0.6,5638.411,30.86269,271.013,949.276
1974-10-01,-1.5,-1.9,5616.526,30.79768,281.339,959.079
1975-01-01,-4.8,-2.3,5548.156,31.53604,244.306,985.190
1975-04-01,2.9,-1.8,5587.800,32.27817,243.281,1013.582
1975-07-01,7.0,0.8,5683.444,32.38043,265.192,1047.192
1975-10-01,5.5,2.6,5759.972,32.73010,276.236,1076.223
1976-01-01,9.3,6.2,5889.500,32.98513,304.638,1109.908
1976-04-01,3.0,6.2,5932.711,33.49464,322.303,1129.540
1976-07-01,2.2,5.0,5965.265,33.64333,328.307,1158.806
1976-10-01,2.9,4.3,6008.504,33.78753,337.650,1192.408
1977-01-01,4.8,3.2,6079.494,33.65136,360.313,1228.212
1977-04-01,8.0,4.5,6197.686,32.80422,389.703,1255.980
1977-07-01,7.4,5.8,6309.514,32.98791,414.134,1286.905
1977-10-01,0.0,5.0,6309.652,33.21873,422.299,1324.804
1978-01-01,1.3,4.1,6329.791,33.50120,434.799,1354.053
1978-04-01,16.4,6.1,6574.390,32.12444,470.584,1411.385
