,CPIAUCSL,HOUST,INDPRO,ISRATIO,M2SL,PAYEMS,PCE,UMCSENT,GFDEGDQ188S,GPDI,PCEC,CIVPART,M1SL,MCOILWTICO,PPIACO,TCU,TOTALSA,PMI
1913-01-01,,,,,,,,,,,,,,,,,,
1913-02-01,,,,,,,,,,,,,,,,,,
1913-03-01,,,,,,,,,,,,,,,,,,
1913-04-01,,,,,,,,,,,,,,,,,,
1913-05-01,,,,,,,,,,,,,,,,,,
1913-06-01,,,,,,,,,,,,,,,,,,
1913-07-01,,,,,,,,,,,,,,,,,,
1913-08-01,,,,,,,,,,,,,,,,,,
1913-09-01,,,,,,,,,,,,,,,,,,
1913-10-01,,,,,,,,,,,,,,,,,,
1913-11-01,,,,,,,,,,,,,,,,,,
1913-12-01,,,,,,,,,,,,,,,,,,
1914-01-01,,,,,,,,,,,,,,,-0.025105921131076236,,,
1914-02-01,,,,,,,,,,,,,,,-0.016807118316381153,,,
1914-03-01,,,,,,,,,,,,,,,-0.025317807984289953,,,
1914-04-01,,,,,,,,,,,,,,,-0.025317807984289953,,,
1914-05-01,,,,,,,,,,,,,,,-0.025533302005164682,,,
1914-06-01,,,,,,,,,,,,,,,-0.025533302005164682,,,
1914-07-01,,,,,,,,,,,,,,,-0.03390155167568132,,,
1914-08-01,,,,,,,,,,,,,,,0.0,,,
1914-09-01,,,,,,,,,,,,,,,-0.008230499136515412,,,
1914-10-01,,,,,,,,,,,,,,,-0.04184710993550045,,,
1914-11-01,,,,,,,,,,,,,,,-0.033616610798985036,,,
1914-12-01,,,,,,,,,,,,,,,-0.025533302005164682,,,
1915-01-01,,,,,,,,,,,,,,,0.0,,,
1915-02-01,,,,,,,,,,,,,,,0.0,,,
1915-03-01,,,,,,,,,,,,,,,0.0085106896679088,,,
1915-04-01,,,,,,,,,,,,,,,0.0085106896679088,,,
1915-05-01,,,,,,,,,,,,,,,0.025533302005164682,,,
1915-06-01,,,,,,,,,,,,,,,0.017094433359300165,,,
1915-07-01,,,,,,,,,,,,,,,0.025533302005164682,,,
1915-08-01,,,,,,,,,,,,,,,-0.016807118316381153,,,
1915-09-01,,,,,,,,,,,,,,,-0.025105921131076236,,,
1915-10-01,,,,,,,,,,,,,,,0.033616610798985036,,,
1915-11-01,,,,,,,,,,,,,,,0.05001042057466165,,,
1915-12-01,,,,,,,,,,,,,,,0.0984400728132524,,,
1916-01-01,,,,,,,,,,,,,,,0.11966450375608906,,,
1916-02-01,,,,,,,,,,,,,,,0.13459015397276453,,,
1916-03-01,,,,,,,,,,,,,,,0.16378930866502683,,,
1916-04-01,,,,,,,,,,,,,,,0.17807526591250333,,,
1916-05-01,,,,,,,,,,,,,,,0.17670356448973124,,,
1916-06-01,,,,,,,,,,,,,,,0.1921600057942423,,,
1916-07-01,,,,,,,,,,,,,,,0.1906898064644711,,,
1916-08-01,,,,,,,,,,,,,,,0.21974796231307137,,,
1916-09-01,,,,,,,,,,,,,,,0.23995066963059086,,,
1916-10-01,,,,,,,,,,,,,,,0.2604552597515668,,,
1916-11-01,,,,,,,,,,,,,,,0.31177962403084125,,,
1916-12-01,,,,,,,,,,,,,,,0.28963329258304293,,,
